"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"82",246,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,2,40,0,1,0,1,0,1,1,1,0,0,0,3,3,2,1,1,1
"83",252,0.5,1,1,2,1,"1. FTF (face-to-face) mode",0,5,"1. Male",4,NA,2,57,1,1,1,1,1,1,0,3,0,1,NA,3,5,5,4,0,1
"84",253,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",4,NA,2,57,1,1,1,1,1,1,1,3,0,1,NA,3,5,5,4,1,1
"85",254,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",4,NA,2,57,1,1,1,1,1,1,1,3,0,1,NA,3,5,5,4,1,1
"86",255,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",4,NA,2,57,1,1,1,1,1,1,1,3,0,1,NA,3,5,5,4,1,1
"87",259,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,0,1,0,1,NA,3,5,5,4,0,1
"88",260,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,0,1,0,1,NA,3,5,5,4,0,1
"89",261,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,0,1,0,1,NA,3,5,5,4,0,1
"90",262,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,0,1,0,1,NA,3,5,5,4,0,1
"91",263,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,0,1,0,1,NA,3,5,5,4,0,1
"92",264,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,NA,1,63,1,1,1,1,1,1,1,1,0,1,NA,3,5,5,4,1,1
"93",269,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,4,NA,0,1,0,1,1,1,1,1,0,1,2,1,NA,3,2,1,0
"94",270,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,4,NA,0,1,0,1,1,1,1,1,0,1,2,1,NA,3,2,1,0
"95",271,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,4,NA,0,1,0,1,1,1,1,1,0,1,2,1,NA,3,2,1,0
"96",272,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",4,4,4,NA,0,1,0,1,1,1,0,1,0,1,2,1,NA,3,2,0,0
"97",284,0,1,0,2,1,"1. FTF (face-to-face) mode",0,6,"1. Male",3,NA,3,26,0,1,0,1,1,1,0,4,0,1,NA,2,2,3,2,0,0
"98",285,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"1. Male",3,NA,3,26,0,1,0,1,1,1,1,4,0,1,NA,2,2,3,2,1,0
"99",286,0,1,0,1,1,"1. FTF (face-to-face) mode",0,6,"1. Male",2,2,4,56,0,1,0,0,1,1,0,4,0,0,0,1,5,2,1,0,0
"100",287,0,1,0,1,1,"1. FTF (face-to-face) mode",1,6,"1. Male",2,2,4,56,0,1,0,0,1,1,1,4,0,0,0,1,5,2,1,1,0
"101",288,0,1,0,1,1,"1. FTF (face-to-face) mode",1,6,"1. Male",2,2,4,56,0,1,0,0,1,1,1,4,0,0,0,1,5,2,1,1,0
"102",289,0.5,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,56,1,1,1,1,1,1,0,1,0,0,0,3,5,5,4,0,1
"103",290,0.5,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,56,1,1,1,1,1,1,0,1,0,0,0,3,5,5,4,0,1
"104",291,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"105",292,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"106",293,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"107",294,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"108",295,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"109",296,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"110",297,0.5,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,56,1,1,1,1,1,1,1,1,0,0,0,3,5,5,4,1,1
"111",298,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",3,5,2,84,1,1,0,1,1,1,0,1,1,1,2,3,6,4,3,0,1
"112",299,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",3,5,2,84,1,1,0,1,1,1,0,1,1,1,2,3,6,4,3,0,1
"113",300,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,5,2,84,1,1,0,1,1,1,1,1,1,1,2,3,6,4,3,1,1
"114",301,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,5,2,84,1,1,0,1,1,1,1,1,1,1,2,3,6,4,3,1,1
"115",302,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",3,5,2,84,1,1,0,1,1,1,0,1,1,1,2,3,6,4,3,0,1
"116",303,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,5,2,84,1,1,0,1,1,1,1,1,1,1,2,3,6,4,3,1,1
