"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"848",992,0,0,0,0,0,1,2,"1. FTF/CASI",-2,0,1,2,10,NA,"4. Some of the time",1995,0,0,0,0,1,1,0,1,1,1,NA,2,21,1,1,0,0,0
"849",993,0,0,1,0,0,1,2,"1. FTF/CASI",1,1,1,2,10,NA,"4. Some of the time",-9,0,1,0,0,1,1,1,1,1,1,NA,2,NA,NA,2,1,1,0
"850",994,0,0,0,0,0,2,2,"1. FTF/CASI",-2,1,6,2,9,4,"3. About half the time",1992,0,0,0,1,1,1,1,4,1,0,0,3,24,1,2,1,1,1
"851",995,0.5,0,1,0,0,2,2,"1. FTF/CASI",2,1,1,2,13,NA,"2. Most of the time",1926,1,1,0,1,1,1,1,1,1,1,NA,4,90,6,4,3,1,2
"852",996,0,0,1,0,0,1,2,"1. FTF/CASI",2,1,1,2,12,9,"3. About half the time",1978,0,1,0,0,1,1,1,1,1,1,0,3,38,3,2,1,1,1
"853",999,0,0,1,0,0,2,1,"1. FTF/CASI",-2,0,1,2,9,9,"1. Always",1973,0,1,0,1,0,1,0,1,1,0,0,5,43,3,2,1,0,3
"854",1000,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,9,NA,"2. Most of the time",1996,1,1,1,1,1,1,1,1,0,0,NA,4,20,1,5,4,1,2
"855",1001,0,0,1,1,1,2,1,"1. FTF/CASI",1,1,1,1,13,NA,"2. Most of the time",1992,0,1,1,1,0,1,1,1,0,1,NA,4,24,1,3,2,1,2
"856",1002,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,13,13,"2. Most of the time",1936,0,1,1,1,1,1,1,1,1,1,2,4,80,6,4,3,1,2
"857",1003,0,0,1,0,0,2,2,"1. FTF/CASI",2,1,1,1,13,13,"2. Most of the time",1952,0,1,0,1,1,1,1,1,0,1,2,4,64,5,3,2,1,2
"858",1004,1,1,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,13,15,"1. Always",1948,1,1,1,1,1,1,1,1,1,1,2,5,68,6,5,4,1,3
"859",1005,0,0,0,0,0,2,1,"1. FTF/CASI",-2,0,5,1,8,10,"3. About half the time",1981,0,0,0,1,0,1,0,3,0,0,1,3,35,3,1,0,0,1
"860",1006,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,15,13,"1. Always",1970,1,1,1,1,1,1,1,1,0,1,2,5,46,4,5,4,1,3
